,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
193,2007Skoda Laura L n K 1.9 PD AT,Skoda,2.4 Lakh*,2007,Individual,"1,00,000 kms",First Owner,Diesel,Automatic,Mileage15.6 kmpl,Engine1896 CC,Max Power106 bhp,"Torque25.5@ 1,900(kgm@ rpm)",Wheel Size16 x 6.5J,Seats5,,,
194,2015Skoda Rapid 1.6 MPI Elegance Plus,Skoda,5.65 Lakh*,2015,Dealer,"49,000 kms",Second Owner,Petrol,Manual,Mileage15.0 kmpl,Engine1598 CC,Max Power103.52 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
195,2014Skoda Octavia Ambition 2.0 TDI AT,Skoda,11.5 Lakh*,2014,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.3 kmpl,Engine1968 CC,Max Power141 bhp,Torque320Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
196,2013Skoda Rapid 1.6 TDI Active,Skoda,5.15 Lakh*,2013,Dealer,"72,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power103.5 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size5.0J X 14,Seats5,,,
197,2009Skoda Superb Elegance 2.0 TDI CR AT,Skoda,5 Lakh*,2009,Individual,"80,000 kms",Third Owner,Diesel,Automatic,Mileage17.2 kmpl,Engine1968 CC,Max Power138.1 bhp,Torque320Nm@ 1750-2500rpm,Wheel Size7.0j X 16,Seats5,,,
198,2013Skoda Rapid 1.6 TDI Active Plus,Skoda,4.85 Lakh*,2013,Dealer,"72,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power105 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size5.0jXR14,Seats5,,,
199,2011Skoda Fabia 1.2 TDI Ambition,Skoda,3.2 Lakh*,2011,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage20.86 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
200,2016Skoda Rapid 1.5 TDI Style Plus Black Package,Skoda,6.5 Lakh*,2016,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage21.14 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
201,2018Skoda Rapid 1.5 TDI AT Style BSIV,Skoda,11.5 Lakh*,2018,Individual,"20,000 kms",First Owner,Diesel,Automatic,Mileage21.72 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
202,2004Skoda Octavia Classic 1.9 TDI MT,Skoda,2 Lakh*,2004,Dealer,"1,51,000 kms",Third Owner,Diesel,Manual,Mileage18.7 kmpl,Engine1896 CC,Max Power66 bhp,Torque210 / 1900,Wheel Size15 x 6J ,Seats5,,,
203,2011Skoda Superb 1.8 TSI MT,Skoda,5.5 Lakh*,2011,Individual,"80,000 kms",Third Owner,Petrol,Manual,Mileage13.14 kmpl,Engine1798 CC,Max Power160 bhp,Torque25 KGM,Wheel SizeN/A,Seats5,,,
204,2008Skoda Fabia 1.4 TDI Classic,Skoda,2.8 Lakh*,2008,Individual,"71,000 kms",Second Owner,Diesel,Manual,Mileage19.4 kmpl,Engine1422 CC,Max Power70 bhp,Torque155 Nm at 1600-2800 rpm,Wheel SizeN/A,Seats5,,,
205,2016Skoda Rapid 1.5 TDI AT Style Plus,Skoda,6.5 Lakh*,2016,Individual,"76,000 kms",Second Owner,Diesel,Automatic,Mileage21.66 kmpl,Engine1498 CC,Max Power103.52 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
206,2012Skoda Rapid 1.6 TDI Ambition,Skoda,3.5 Lakh*,2012,Individual,"1,23,400 kms",Second Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1598 CC,Max Power103.5 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size5.0j  x 14,Seats5,,,
207,2016Maruti Wagon R VXI AMT,Maruti,4.69 Lakh*,2016,Dealer,"26,862 kms",First Owner,Petrol,Automatic,Mileage21.79 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
208,2018Maruti Ignis 1.2 AMT Alpha BSIV,Maruti,6.95 Lakh*,2018,Dealer,"23,312 kms",First Owner,Petrol,Automatic,Mileage20.89 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel SizeN/A,Seats5,,,
209,2018Maruti Swift AMT VXI,Maruti,7.25 Lakh*,2018,Dealer,"5,700 kms",First Owner,Petrol,Automatic,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel SizeR14,Seats5,,,
210,2018Maruti Swift VDI BSIV W ABS,Maruti,7.3 Lakh*,2018,Dealer,"19,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats5,,,
211,2016Maruti Alto K10 VXI AGS,Maruti,4.1 Lakh*,2016,Dealer,"16,000 kms",First Owner,Petrol,Automatic,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
212,2016Maruti Swift ZXI Plus,Maruti,6.25 Lakh*,2016,Dealer,"35,000 kms",First Owner,Petrol,Manual,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel SizeN/A,Seats5,,,
213,2017Maruti Swift Dzire VXI Optional,Maruti,6.5 Lakh*,2017,Dealer,"24,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Torque115Nm@ 4000rpm,Wheel Size14,Seats5,,,
214,2016Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,Maruti,7.35 Lakh*,2016,Dealer,"76,000 kms",First Owner,Diesel,Manual,Variant -  Alpha DDiS 200 SH,Mileage25.1 kmpl,Engine1248 CC,Max Power88.5 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats5,,
215,2018Maruti Swift AMT VXI,Maruti,7.25 Lakh*,2018,Dealer,"8,000 kms",First Owner,Petrol,Automatic,Mileage22.0 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel Size14,Seats5,,,
216,2016Maruti Alto K10 VXI,Maruti,3.55 Lakh*,2016,Dealer,"36,000 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
217,2016Maruti Celerio VXI,Maruti,4.25 Lakh*,2016,Dealer,"48,105 kms",First Owner,Petrol,Manual,Mileage21.63 kmpl,Engine998 CC,Max Power67.04 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
218,2016Maruti Alto K10 VXI Optional,Maruti,3.6 Lakh*,2016,Dealer,"36,000 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
219,2012Maruti Ritz VXI,Maruti,3.85 Lakh*,2012,Dealer,"56,000 kms",First Owner,Petrol,Manual,Mileage21.1 kmpl,Engine1197 CC,Max Power85.80 bhp,Torque114Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
220,2016Maruti Vitara Brezza ZDi,Maruti,8.2 Lakh*,2016,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
221,2017Maruti Alto K10 VXI AGS,Maruti,4.45 Lakh*,2017,Dealer,"11,845 kms",First Owner,Petrol,Automatic,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
222,2014Maruti Swift Dzire Vdi BSIV,Maruti,5.5 Lakh*,2014,Dealer,"88,000 kms",First Owner,Diesel,Manual,Mileage19.3 kmpl,Engine1248 CC,Max Power73.9 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
223,2018Maruti Eeco 5 Seater AC BSIV,Maruti,4.35 Lakh*,2018,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage15.37 kmpl,Engine1196 CC,Max Power73 bhp,Torque101Nm@ 3000rpm,Wheel Size13,Seats5,,,
224,2017Maruti Baleno Zeta Automatic,Maruti,7.15 Lakh*,2017,Dealer,"42,000 kms",First Owner,Petrol,Automatic,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Torque115Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
225,2015Maruti Celerio VXi AMT,Maruti,4.65 Lakh*,2015,Dealer,"26,000 kms",First Owner,Petrol,Automatic,Mileage21.63 kmpl,Engine998 CC,Max Power67.04 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
226,2017Maruti Wagon R VXI Opt,Maruti,4.6 Lakh*,2017,Dealer,"25,453 kms",First Owner,Petrol,Manual,Mileage21.79 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
227,2017Maruti Baleno Alpha Diesel,Maruti,7.35 Lakh*,2017,Dealer,"51,000 kms",Second Owner,Diesel,Manual,Mileage27.39 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
228,2016Maruti Baleno Alpha 1.2,Maruti,6.5 Lakh*,2016,Dealer,"65,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Torque115Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
229,2018Maruti Swift AMT VDI,Maruti,7.95 Lakh*,2018,Dealer,"39,000 kms",First Owner,Diesel,Automatic,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
230,2011Maruti Ritz VXi (ABS) BS IV,Maruti,3.3 Lakh*,2011,Dealer,"71,844 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power85.80 bhp,Torque114Nm@ 4000rpm,Wheel Size14,Seats5,,,
231,2018Maruti Ciaz Alpha BSIV,Maruti,9.85 Lakh*,2018,Dealer,"14,673 kms",First Owner,Petrol,Manual,Mileage21.56 kmpl,Engine1462 CC,Max Power103.25 bhp,Torque138Nm@ 4400rpm,Wheel SizeN/A,Seats5,,,
232,2013Maruti Swift ZDI BSIV,Maruti,5.25 Lakh*,2013,Dealer,"81,000 kms",First Owner,Diesel,Manual,Mileage25.2 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
233,2015Maruti Celerio VXi AMT,Maruti,4.5 Lakh*,2015,Dealer,"40,000 kms",First Owner,Petrol,Automatic,Mileage21.63 kmpl,Engine998 CC,Max Power67.04 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
234,2017Maruti Wagon R VXI,Maruti,4.25 Lakh*,2017,Dealer,"85,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine998 CC,Max Power67.1 bhp,Torque90Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
235,2016Maruti Baleno Alpha 1.2,Maruti,7.65 Lakh*,2016,Dealer,"24,200 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Torque115Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
236,2018Maruti Ertiga ZXI Plus,Maruti,9 Lakh*,2018,Dealer,"32,000 kms",First Owner,Petrol,Manual,Mileage19.01 kmpl,Engine1462 CC,Max Power103.26 bhp,Torque138Nm@ 4400rpm,Wheel SizeN/A,Seats7,,,
237,2016Maruti Ritz LDi,Maruti,5.25 Lakh*,2016,Dealer,"36,000 kms",First Owner,Diesel,Manual,Mileage23.2 kmpl,Engine1248 CC,Max Power73.94 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
238,2018Maruti Swift Dzire VXI,Maruti,7.45 Lakh*,2018,Dealer,"23,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Torque115Nm@ 4000rpm,Wheel Size14,Seats5,,,
239,2013Maruti Swift Dzire VDI,Maruti,5.45 Lakh*,2013,Dealer,"61,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
240,2018Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,Maruti,9.5 Lakh*,2018,Dealer,"36,000 kms",First Owner,Diesel,Manual,Mileage23.65 kmpl,Engine1248 CC,Max Power88.5 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
241,2017Maruti Alto 800 LXI,Maruti,3.75 Lakh*,2017,Dealer,"3,117 kms",First Owner,Petrol,Manual,Mileage24.7 kmpl,Engine796 CC,Max Power47.3 bhp,Torque69Nm@ 3500rpm,Wheel Size12,Seats5,,,
242,2013Maruti Swift Dzire ZDI,Maruti,6.65 Lakh*,2013,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
243,2016Maruti Alto K10 VXI Optional,Maruti,3.45 Lakh*,2016,Dealer,"47,000 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
244,2014Maruti Swift VDI,Maruti,5.5 Lakh*,2014,Dealer,"37,000 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
245,2016Maruti Wagon R AMT VXI,Maruti,4.5 Lakh*,2016,Dealer,"36,000 kms",First Owner,Petrol,Automatic,Mileage20.51 kmpl,Engine998 CC,Max Power67 bhp,Torque90Nm@ 3500rpm,Wheel Size14,Seats5,,,
246,2011Maruti Swift VDI,Maruti,3.9 Lakh*,2011,Dealer,"80,000 kms",Second Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
247,2015Maruti Swift VXI BSIV,Maruti,5.2 Lakh*,2015,Dealer,"1,02,506 kms",First Owner,Petrol,Manual,Mileage22.0 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel Size14,Seats5,,,
248,2011Maruti Swift VDI,Maruti,3.9 Lakh*,2011,Dealer,"79,000 kms",First Owner,Diesel,Manual,Variant -  VDI,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,
249,2013Maruti Ertiga ZDI,Maruti,5.95 Lakh*,2013,Dealer,"82,000 kms",Second Owner,Diesel,Manual,Mileage20.77 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats7,,,
250,2019Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Maruti,9.55 Lakh*,2019,Dealer,"12,000 kms",First Owner,Diesel,Manual,Mileage25.1 kmpl,Engine1248 CC,Max Power88.5 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
251,2014Maruti Ertiga BSIV ZXI,Maruti,6.25 Lakh*,2014,Dealer,"39,000 kms",Third Owner,Petrol,Manual,Mileage17.5 kmpl,Engine1373 CC,Max Power91.1 bhp,Torque130Nm@ 4000rpm,Wheel SizeN/A,Seats7,,,
252,2014Maruti Swift ZDI,Maruti,6.25 Lakh*,2014,Dealer,"58,323 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
253,2017Maruti Celerio ZXI MT BSIV,Maruti,5.25 Lakh*,2017,Dealer,"28,593 kms",First Owner,Petrol,Manual,Mileage23.1 kmpl,Engine998 CC,Max Power67.04 bhp,Torque90Nm@ 3500rpm,Wheel Size14,Seats5,,,
254,2012Maruti Wagon R VXI,Maruti,3.2 Lakh*,2012,Dealer,"47,000 kms",Second Owner,Petrol,Manual,Mileage21.79 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel SizeR14,Seats5,,,
255,2019Maruti Ertiga ZXI Plus Petrol,Maruti,9 Lakh*,2019,Dealer,"32,000 kms",First Owner,Petrol,Manual,Mileage19.34 kmpl,Engine1462 CC,Max Power103 bhp,Torque138Nm@ 4400rpm,Wheel SizeN/A,Seats7,,,
256,2012Maruti Ritz VDi,Maruti,4.25 Lakh*,2012,Dealer,"67,000 kms",First Owner,Diesel,Manual,Mileage23.2 kmpl,Engine1248 CC,Max Power73.94 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
257,2015Maruti Alto K10 VXI,Maruti,3.35 Lakh*,2015,Dealer,"63,715 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Torque90Nm@ 3500rpm,Wheel Size13,Seats5,,,
258,2018Maruti Ciaz Alpha Automatic BSIV,Maruti,8.75 Lakh*,2018,Dealer,"52,594 kms",First Owner,Petrol,Automatic,Variant -  Alpha Automatic BSIV,Mileage20.28 kmpl,Engine1462 CC,Max Power103.25 bhp,Torque138Nm@ 4400rpm,Wheel SizeN/A,Seats5,,
259,2013Maruti Ertiga ZDI,Maruti,6.55 Lakh*,2013,Dealer,"50,500 kms",Third Owner,Diesel,Manual,Mileage20.77 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats7,,,
260,2019Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Maruti,11.95 Lakh*,2019,Dealer,"4,100 kms",First Owner,Diesel,Automatic,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Torque200Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
261,2018Maruti Ertiga BSIV ZXI Plus,Maruti,10.25 Lakh*,2018,Dealer,"18,173 kms",First Owner,Petrol,Manual,Mileage17.5 kmpl,Engine1373 CC,Max Power91.1 bhp,Torque130Nm@ 4000rpm,Wheel SizeN/A,Seats7,,,
262,2014Maruti Swift ZDI BSIV,Maruti,5.45 Lakh*,2014,Dealer,"73,000 kms",First Owner,Diesel,Manual,Mileage25.2 kmpl,Engine1248 CC,Max Power74 bhp,Torque190Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
263,2018Maruti Baleno Alpha CVT,Maruti,7.85 Lakh*,2018,Dealer,"30,000 kms",First Owner,Petrol,Automatic,Mileage19.56 kmpl,Engine1197 CC,Max Power81.80 bhp,Torque113Nm@ 4200rpm,Wheel SizeN/A,Seats5,,,
264,2010Maruti Swift Dzire VDI,Maruti,4.1 Lakh*,2010,Dealer,"1,00,000 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74.02 bhp,Torque190Nm@ 2000rpm,Wheel Size14,Seats5,,,
265,2017Hyundai Tucson 2.0 e-VGT 2WD MT,hyundai,15.3 Lakh*,2017,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage18.42 kmpl,Engine1995 CC,Max Power182.46 bhp,Torque400.11Nm@ 1750-2750rpm,Wheel SizeN/A,Seats5,,,
266,2017Hyundai Verna 1.6 SX VTVT AT,hyundai,11.45 Lakh*,2017,Dealer,"21,042 kms",First Owner,Petrol,Automatic,Mileage15.74 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque154.9Nm@ 4200rpm,Wheel SizeN/A,Seats5,,,
267,2015Hyundai Creta 1.6 CRDi SX Plus,hyundai,11.5 Lakh*,2015,Individual,"12,500 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
268,2015Hyundai Creta 1.6 CRDi AT SX Plus,hyundai,10.9 Lakh*,2015,Dealer,"26,000 kms",First Owner,Diesel,Automatic,Mileage17.01 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
269,2017Hyundai Creta 1.6 CRDi AT SX Plus,hyundai,12.5 Lakh*,2017,Dealer,"26,000 kms",First Owner,Diesel,Automatic,Mileage17.01 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
270,2017Hyundai Grand i10 Sportz Plus,hyundai,5.45 Lakh*,2017,Dealer,"33,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel Size14,Seats5,,,
271,2016Hyundai Creta 1.6 CRDi SX,hyundai,10.95 Lakh*,2016,Dealer,"45,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
272,2018Hyundai i20 2015-2017 Magna AT 1.4,hyundai,8.5 Lakh*,2018,Dealer,"6,000 kms",Second Owner,Petrol,Automatic,Mileage18.6 kmpl,Engine1368 CC,Max Power98.5 bhp,Torque132.3Nm@ 4000rpm,Wheel Size14,Seats5,,,
273,2018Hyundai Creta 1.6 SX Automatic,hyundai,12.75 Lakh*,2018,Dealer,"30,000 kms",First Owner,Petrol,Automatic,Variant -  1.6 SX Automatic,Mileage14.8 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque151NM@ 4850rpm,Wheel SizeN/A,Seats5,,
274,2018Hyundai i20 2015-2017 Asta Option 1.4 CRDi,hyundai,7.85 Lakh*,2018,Dealer,"16,636 kms",Second Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Torque219.7Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,,,
275,2016Hyundai Creta 1.6 CRDi AT SX Plus,hyundai,11.5 Lakh*,2016,Dealer,"25,000 kms",Second Owner,Diesel,Automatic,Variant -  1.6 CRDi AT SX Plus,Mileage17.01 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,
276,2017Hyundai Grand i10 Sportz,hyundai,5.85 Lakh*,2017,Dealer,"9,344 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel Size14,Seats5,,,
277,2017Hyundai Elite i20 Petrol Sportz,hyundai,6.75 Lakh*,2017,Dealer,"16,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque114.73nm@ 4000rpm,Wheel Size14,Seats5,,,
278,2012Hyundai i20 Asta 1.4 CRDi,hyundai,4.95 Lakh*,2012,Dealer,"29,690 kms",First Owner,Diesel,Manual,Mileage21.27 kmpl,Engine1396 CC,Max Power88.76 bhp,Torque219.6Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,,,
279,2016Hyundai Creta 1.6 SX,hyundai,10.23 Lakh*,2016,Dealer,"28,000 kms",First Owner,Petrol,Manual,Mileage15.8 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque151Nm@ 4850rpm,Wheel SizeN/A,Seats5,,,
280,2018Hyundai Verna 1.6 CRDI SX Option,hyundai,11.25 Lakh*,2018,Dealer,"33,000 kms",First Owner,Diesel,Manual,Variant -  1.6 CRDI SX Option,Mileage23.9 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,
281,2017Hyundai Creta 1.6 VTVT AT SX Plus,hyundai,12.15 Lakh*,2017,Dealer,"36,900 kms",First Owner,Petrol,Automatic,Mileage13.0 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque151Nm@ 4850rpm,Wheel SizeN/A,Seats5,,,
282,2015Hyundai Creta 1.6 CRDi SX,hyundai,10.5 Lakh*,2015,Dealer,"46,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
283,2017Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,hyundai,16.5 Lakh*,2017,Dealer,"42,751 kms",First Owner,Petrol,Automatic,Mileage12.95 kmpl,Engine1999 CC,Max Power152.88 bhp,Torque192.21Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
284,2017Hyundai Grand i10 1.2 CRDi Sportz,hyundai,5.65 Lakh*,2017,Dealer,"54,138 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1186 CC,Max Power73.97 bhp,Torque190.24nm@ 1750-2250rpm,Wheel Size14,Seats5,,,
285,2016Hyundai Grand i10 Asta Option AT,hyundai,6.25 Lakh*,2016,Dealer,"23,000 kms",First Owner,Petrol,Automatic,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
286,2018Hyundai Grand i10 1.2 Kappa Sportz BSIV,hyundai,5.99 Lakh*,2018,Dealer,"19,576 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,,,
287,2012Hyundai Verna 1.6 CRDi EX MT,hyundai,5.5 Lakh*,2012,Dealer,"57,000 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.3 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
288,2010Hyundai i10 Magna AT,hyundai,2.75 Lakh*,2010,Dealer,"80,000 kms",Second Owner,Petrol,Automatic,Mileage19.2 kmpl,Engine1197 CC,Max Power80 bhp,"Torque11.4@ 4,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
289,2010Hyundai i20 Magna Optional 1.4 CRDi,hyundai,3.95 Lakh*,2010,Dealer,"22,000 kms",First Owner,Diesel,Manual,Mileage21.9 kmpl,Engine1396 CC,Max Power88.8 bhp,Torque219.7Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,,,
290,2012Hyundai Verna 1.6 CRDI,hyundai,5.5 Lakh*,2012,Dealer,"52,000 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.3 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
291,2010Hyundai i10 Magna 1.2,hyundai,2.75 Lakh*,2010,Dealer,"72,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
292,2014Hyundai Grand i10 AT Asta,hyundai,5.25 Lakh*,2014,Dealer,"59,571 kms",First Owner,Petrol,Automatic,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
293,2011Hyundai Verna VTVT 1.6 SX,hyundai,5.25 Lakh*,2011,Dealer,"42,000 kms",Second Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1591 CC,Max Power121.3 bhp,Torque151Nm@ 4850rpm,Wheel SizeN/A,Seats5,,,
